date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,2,0,1456,0,0,0,0,428
2023-05-30,2,0,1456,0,0,0,0,428
2023-06-06,10617,8,34082,3019,0,812,0,2603
2023-06-13,10617,8,34082,3019,0,812,0,2603
2023-06-20,10617,8,34082,3019,0,812,0,2603
2023-06-27,10617,8,34082,3019,0,812,0,2603
2023-07-04,10666,8,36559,3019,0,857,0,2878
2023-07-11,70666,610,133771,10634,1,5491,6,10907
2023-07-18,70666,610,133771,10634,1,5491,6,10907
2023-07-25,70666,610,133771,10634,1,5491,6,10907
2023-08-01,70666,610,133771,10634,1,5491,6,10907
2023-08-08,70832,610,133621,10634,1,5479,6,10897
2023-08-15,71275,779,133467,10639,1,5732,6,10662
2023-08-22,71337,779,133436,10639,1,5709,6,10659
2023-08-29,71439,779,133324,10639,1,5727,6,10651
2023-09-05,71504,780,133310,10639,1,5871,6,10646
2023-09-12,71613,780,133225,10640,1,5879,6,10625
2023-09-19,71889,782,133652,10641,1,5861,6,10809
2023-09-26,72034,783,133642,10642,1,5742,6,10807
2023-10-03,72507,783,133181,10642,1,5742,6,10791
2023-10-10,72547,783,133164,10642,1,5738,6,10779
2023-10-17,72747,741,132988,10642,1,5761,6,10764
2023-10-24,72747,741,132988,10642,1,5761,6,10764
2023-10-31,72916,742,132902,10642,1,5700,6,10751
2023-11-07,73202,742,132664,10642,1,5679,6,10734
2023-11-14,73250,742,132632,10642,1,5680,6,10720
2023-11-21,73286,665,132582,10642,1,5725,6,10719
2023-11-28,73351,665,132527,10642,1,5726,6,10706
2023-12-05,73488,665,132398,10642,1,5725,6,10694
2023-12-12,73742,665,132203,10641,1,5722,6,10688
2023-12-19,73742,665,132203,10641,1,5722,6,10688
2023-12-26,73805,665,132165,10641,1,5710,6,10672
2024-01-02,73868,575,132164,10640,1,5731,6,10671
2024-01-09,74219,575,131815,10640,1,5736,6,10663
2024-01-16,74219,575,131815,10640,1,5736,6,10663
2024-01-23,74219,575,131815,10640,1,5736,6,10663
2024-01-30,74295,575,131779,10660,1,5730,6,10625
2024-02-06,74295,575,131779,10662,1,5730,6,10623
2024-02-13,74665,575,131462,10662,1,5703,6,10598
2024-02-20,74665,575,131462,10662,1,5703,6,10598
2024-02-27,74665,575,131462,10662,1,5703,6,10598
2024-03-05,74641,562,129760,10625,1,4159,6,10284
2024-03-12,72421,292,128833,10456,0,1573,6,10324
2024-03-19,72238,289,126923,10163,0,1558,6,10235
2024-03-26,72324,289,126902,10165,0,1557,6,10214
2024-04-02,71843,284,126913,10165,0,2803,6,9940
2024-04-16,73111,284,125599,10165,0,2806,6,9921
2024-04-30,73727,284,125229,10157,0,2790,6,9883
2024-05-07,73860,284,125125,10157,0,2790,6,9864
2024-05-14,73879,284,125125,10157,0,2784,6,9861
2024-05-20,72238,284,126724,10171,0,2784,6,9888
2024-05-21,72238,284,126724,10171,0,2784,6,9888
2024-05-28,72238,284,126724,10171,0,2784,6,9888
2024-06-04,72684,284,126680,10141,0,2777,6,9699
2024-06-11,72946,284,126533,10140,0,2776,6,9645
2024-06-18,72946,284,126533,10140,0,2776,6,9645
2024-07-02,73439,284,126212,10140,0,2760,6,9603
2024-07-09,73551,284,126117,10140,0,2760,6,9586
2024-07-16,73946,284,126089,10140,0,2761,6,9228
2024-07-23,74075,284,125972,10140,0,2761,6,9215
2024-07-30,74129,284,125935,10140,0,2761,6,9204
2024-08-06,74709,285,125559,10140,0,2766,6,9190
2024-08-13,74709,285,125559,10140,0,2766,6,9190
2024-08-20,74762,285,125502,10140,0,2766,6,9180
2024-08-27,74935,285,125496,10127,0,2763,6,9190
2024-09-03,75182,285,125269,10127,0,2763,6,9170
2024-09-10,75247,276,125231,10127,0,2773,6,9150
