date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,25005,188,112835,4028,1331,505,18088,5103
2023-05-30,72870,1431,254519,11849,4745,2161,57410,12671
2023-06-06,270456,9873,1040889,82075,33009,25560,282825,112448
2023-06-13,270456,9873,1040889,82075,33009,25560,282825,112448
2023-06-20,416438,75105,1156535,128903,109684,37311,544901,281982
2023-06-27,533631,111107,1208792,199345,148878,46163,637804,382668
2023-07-04,653783,151541,1279737,238716,198573,59911,809683,490189
2023-07-11,782141,190939,1343704,281704,249050,77332,976500,602608
2023-07-18,782531,190939,1343752,281704,249050,77324,976500,602608
2023-07-25,782531,190939,1343752,281704,249050,77324,976500,602608
2023-08-01,783435,190939,1344967,281713,249089,77407,976486,602517
2023-08-08,794239,191112,1347893,282530,249316,77425,976733,602756
2023-08-15,796615,191003,1347165,282440,249089,77280,976692,601671
2023-08-22,798538,190897,1345598,281780,249109,77013,976618,601526
2023-08-29,798789,190946,1345605,281841,249169,77153,976638,601258
2023-09-05,805694,191291,1345561,281633,249657,77485,977311,601070
2023-09-12,807140,191300,1344957,281484,249660,77609,977503,601038
2023-09-19,810175,191491,1344370,281430,249853,77670,977917,601289
2023-09-26,838640,191563,1315951,281345,249898,79522,978029,600994
2023-10-03,838661,191555,1315949,281345,249906,79521,978029,600975
2023-10-10,839049,190542,1316197,281338,250908,79503,978020,600470
2023-10-17,845503,190212,1312126,281392,251262,77536,977909,600101
2023-10-24,845532,190212,1312112,281392,251262,77536,977909,600083
2023-10-31,847501,190244,1311431,281391,251226,77292,977861,599110
2023-11-07,854670,190232,1304581,281360,251221,77171,977895,598907
2023-11-14,854991,190233,1304513,281360,251210,77113,977904,598693
2023-11-21,858107,190246,1302443,281444,251190,77002,977958,597673
2023-11-28,858527,190246,1302090,281442,251188,76994,977959,597616
2023-12-05,860331,190253,1300782,281454,251180,77558,977947,596583
2023-12-12,869401,190258,1292434,281445,251170,77401,977989,596065
2023-12-19,869364,190230,1291590,281265,251089,77538,977989,595717
2023-12-26,871984,190267,1289752,281101,251067,77458,977962,595051
2024-01-02,874092,190328,1288296,281058,251007,77438,977964,594437
2024-01-09,878203,190335,1282104,281023,250960,77560,977789,594155
2024-01-16,878262,190364,1282811,281204,251041,77420,977788,594435
2024-01-23,878262,190364,1282811,281204,251041,77420,977788,594435
2024-01-30,879932,189241,1282478,281310,251706,77546,977729,593118
2024-02-06,886011,189134,1279224,281364,251818,77336,977842,592847
2024-02-13,885890,188731,1277631,281279,250606,77234,977455,591660
2024-02-20,885890,188731,1277631,281279,250606,77234,977455,591660
2024-02-27,885890,188731,1277631,281279,250606,77234,977455,591660
2024-03-05,875474,159964,1254703,277577,227957,65803,958768,574671
2024-03-12,860340,118288,1204057,269354,197011,22274,930824,553219
2024-03-19,856442,117215,1175573,267183,193988,18442,925683,549486
2024-03-26,858712,117173,1174741,267194,194325,18453,925772,549082
2024-04-02,854285,116627,1170306,267015,195395,35102,925028,545126
2024-04-16,874750,116332,1151729,266768,195617,39271,924079,544651
2024-04-30,894377,114817,1136820,266450,197242,38939,924226,542256
2024-05-07,897018,114759,1135036,264794,197077,40905,924200,541209
2024-05-14,902030,114708,1131543,264804,196635,40875,924179,540057
2024-05-20,862536,116257,1170269,264978,195596,40834,924223,540182
2024-05-21,862536,116257,1170269,264978,195596,40834,924223,540182
2024-05-28,862778,116251,1170365,264980,195562,40821,924225,539889
2024-06-04,868126,116099,1170198,266613,195533,38598,924297,536853
2024-06-11,875493,116090,1164429,266400,195558,38207,924377,536235
2024-06-18,875608,116080,1164391,266400,195565,38207,924376,536174
2024-07-02,886882,115569,1158685,266291,196292,37791,924454,531595
2024-07-09,888517,115452,1158057,266284,196529,37786,924429,530574
2024-07-16,895959,116024,1153767,266289,196682,37748,924446,527780
2024-07-23,898080,116053,1152031,266289,196684,37796,924447,527449
2024-07-30,899970,116421,1151618,266258,196831,37784,924463,526471
2024-08-06,905826,116490,1146663,266245,196931,37805,924459,525923
2024-08-13,905949,116492,1146600,266246,196935,37804,924455,525870
2024-08-20,907897,116398,1145680,266252,197116,37801,924476,525332
2024-08-27,917058,116157,1140027,266271,197593,37736,924509,523761
2024-09-03,917170,116156,1139959,266271,197597,37735,924513,523733
2024-09-10,920521,82449,1139195,266258,197546,72054,924534,522391
