date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,123,404,12089,0,0,83,1,0
2023-06-20,123,404,12089,0,0,83,1,0
2023-06-27,123,404,12089,0,0,83,1,0
2023-07-04,123,404,12089,0,0,83,1,0
2023-07-11,67223,14339,14183,2084,7069,2312,50,12
2023-07-18,67223,14339,14183,2084,7069,2312,50,12
2023-07-25,67223,14339,14183,2084,7069,2312,50,12
2023-08-01,67223,14339,14183,2084,7069,2312,50,12
2023-08-08,67251,14323,14107,2084,7069,2312,50,12
2023-08-15,67864,14354,14101,2084,7460,3209,50,12
2023-08-22,67883,14364,14131,2084,7460,3209,50,12
2023-08-29,67883,14364,14131,2084,7460,3209,50,12
2023-09-05,67943,14676,14138,2084,7517,3213,50,12
2023-09-12,67990,14678,14102,2084,7517,3215,50,12
2023-09-19,67990,14678,14102,2084,7517,3215,50,12
2023-09-26,68086,14681,14094,2083,7511,3127,50,12
2023-10-03,68433,14681,13747,2083,7511,3125,50,12
2023-10-10,68433,14681,13747,2083,7511,3125,50,12
2023-10-17,68481,14679,13700,2083,7512,3127,50,12
2023-10-24,68481,14679,13700,2083,7512,3127,50,12
2023-10-31,68478,14687,13701,2083,7512,3120,50,12
2023-11-07,68781,14690,13405,2083,7512,3115,50,12
2023-11-14,68781,14690,13405,2083,7512,3115,50,12
2023-11-21,68769,14692,13403,2083,7511,3113,50,12
2023-11-28,68815,14692,13358,2083,7511,3113,50,12
2023-12-05,68817,14691,13357,2083,7511,3113,50,12
2023-12-12,69057,14690,13114,2083,7511,3112,50,11
2023-12-19,69057,14690,13114,2083,7511,3112,50,11
2023-12-26,69057,14690,13114,2083,7511,3112,50,11
2024-01-02,69065,14698,13114,2083,7508,3109,50,11
2024-01-09,69120,14698,13060,2083,7508,3109,50,11
2024-01-16,69120,14698,13060,2083,7508,3109,50,11
2024-01-23,69120,14698,13060,2083,7508,3109,50,11
2024-01-30,69120,14698,13060,2083,7508,3109,50,11
2024-02-06,69120,14669,13060,2082,7490,3109,50,11
2024-02-13,69252,14669,12928,2082,7490,3109,50,11
2024-02-20,69252,14669,12928,2082,7490,3109,50,11
2024-02-27,69252,14669,12928,2082,7490,3109,50,11
2024-03-05,69252,14669,12928,2082,7490,3109,50,11
2024-03-12,68153,8537,12636,2020,5688,178,43,11
2024-03-19,68238,8463,12097,2020,5688,157,43,11
2024-03-26,68238,8463,12097,2020,5688,157,43,11
2024-04-02,65942,8316,12097,1994,5684,2593,43,11
2024-04-16,66004,8316,12004,1994,5684,2593,43,11
2024-04-30,65849,8293,11873,1983,5673,2580,36,5
2024-05-07,65849,8293,11873,1983,5673,2580,36,5
2024-05-14,65848,8287,11873,1981,5673,2580,36,5
2024-05-20,65633,8306,12068,1982,5672,2580,36,5
2024-05-21,65633,8306,12068,1982,5672,2580,36,5
2024-05-28,65633,8306,12068,1982,5672,2580,36,5
2024-06-04,65633,8303,12068,1982,5668,2579,36,5
2024-06-11,65891,8295,11976,1982,5662,2395,36,5
2024-06-18,65891,8295,11976,1982,5662,2395,36,5
2024-07-02,66005,8301,11859,1982,5658,2392,36,5
2024-07-09,66005,8301,11859,1982,5658,2392,36,5
2024-07-16,66007,8302,11857,1982,5656,2391,36,5
2024-07-23,66051,8302,11811,1982,5656,2392,36,5
2024-07-30,66052,8302,11810,1982,5656,2392,36,5
2024-08-06,66012,8303,11742,1978,5658,2392,36,5
2024-08-13,66012,8303,11742,1978,5658,2392,36,5
2024-08-20,66012,8303,11742,1978,5658,2392,36,5
2024-08-27,66011,8289,11741,1978,5654,2411,36,5
2024-09-03,66087,8294,11665,1978,5654,2406,36,5
2024-09-10,66090,8282,11662,1978,5654,2418,36,5
