date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,6456,195,36939,1444,893,241,7763,682
2023-05-30,6456,195,36939,1444,893,241,7763,682
2023-06-06,2884,26,3944,0,488,192,5152,3
2023-06-13,220730,8025,806176,54271,26794,30493,262366,97001
2023-06-20,220730,8025,806176,54271,26794,30493,262366,97001
2023-06-27,220730,8025,806176,54271,26794,30493,262366,97001
2023-07-04,220730,8025,806176,54271,26794,30493,262366,97001
2023-07-11,229515,9656,808572,54812,30264,30982,271602,98939
2023-07-18,515979,169132,994181,123023,236286,84767,638157,257100
2023-07-25,515979,169132,994181,123023,236286,84767,638157,257100
2023-08-01,516012,169132,994186,123023,236301,84769,638157,257100
2023-08-08,522848,169123,988523,123028,236215,84577,638391,256445
2023-08-15,523417,169114,988275,123068,235942,84000,638377,256166
2023-08-22,526082,168963,986415,123036,235678,83237,637983,255778
2023-08-29,526082,168963,986415,123036,235678,83237,637983,255778
2023-09-05,527667,168706,986584,123013,235989,83539,638098,255726
2023-09-12,553812,168823,964255,122732,236355,87148,638049,255403
2023-09-19,553816,169169,964258,122732,236387,87149,638049,255405
2023-09-26,555973,169161,963294,122737,236678,86227,638023,255207
2023-10-03,559599,168784,961653,122878,237077,84094,638349,255140
2023-10-10,559688,168788,961612,122878,237094,84094,638365,255124
2023-10-17,560686,168507,960973,122878,237360,83928,638377,254919
2023-10-24,570202,167532,952220,122850,238335,83618,638471,254490
2023-10-31,570753,167171,951224,122850,238726,84171,638460,254360
2023-11-07,576176,165858,946312,122849,240070,84164,638455,253940
2023-11-14,576324,165871,946287,122849,240076,84123,638449,253849
2023-11-21,576736,165889,946144,122847,240037,84087,638461,253627
2023-11-28,580031,165904,943807,122896,239982,83563,638219,253191
2023-12-05,580059,165906,943782,122896,239985,83563,638219,253191
2023-12-12,581426,165691,942724,122904,240250,83460,638212,252989
2023-12-19,587630,164948,935665,122225,239378,82600,636163,251542
2023-12-26,587631,164958,935665,122225,239378,82600,636163,251542
2024-01-02,589041,164900,934702,122225,239376,82414,636201,251337
2024-01-09,591822,164805,932212,122225,239335,82354,636228,251138
2024-01-16,596550,165163,929369,122910,240493,82886,638561,251939
2024-01-23,596550,165163,929369,122910,240493,82886,638561,251939
2024-01-30,596987,165182,928894,122910,240486,83057,638583,251810
2024-02-06,597184,165254,928845,122939,240399,83063,638569,251653
2024-02-13,593921,142126,915132,121347,222648,69416,625207,240986
2024-02-20,593917,141459,915128,121346,222293,69410,624769,240984
2024-02-27,593917,141459,915128,121346,222293,69410,624769,240984
2024-03-05,593917,141058,915044,121346,222277,69409,624769,240984
2024-03-12,590061,119364,896255,118455,200229,55931,609937,231842
2024-03-19,580651,106091,836076,115014,189177,41735,590197,219292
2024-03-26,580651,106091,836076,115014,189177,41735,590197,219292
2024-04-02,577145,105174,834024,114784,189797,50447,589873,218815
2024-04-16,604743,104829,813016,114577,188153,53101,590173,218171
2024-04-30,616463,103915,805290,114637,190618,51018,590198,216156
2024-05-07,616464,103921,805288,114637,190618,51018,590198,216156
2024-05-14,618089,103743,803979,114637,190525,51012,590202,215945
2024-05-20,583649,105126,838274,114668,189420,50951,590252,215810
2024-05-21,583649,105128,838274,114668,189420,50951,590252,215810
2024-05-28,583874,105141,838272,114669,189309,50927,590254,215721
2024-06-04,585537,105092,837221,114668,189278,50489,590262,215260
2024-06-11,590952,105173,833432,113847,189011,50054,590112,214206
2024-06-18,594387,105150,831500,113763,188795,49793,590158,213597
2024-07-02,600726,104289,826245,113748,189816,49276,590201,213015
2024-07-09,600877,104038,826238,113747,190144,49232,590206,212944
2024-07-16,602701,104132,825151,113745,190232,48057,590217,212282
2024-07-23,608680,104227,820954,113757,190471,47967,589972,210741
2024-07-30,609157,104221,820543,113757,190492,47966,589974,210717
2024-08-06,609703,104197,820259,113755,190640,47967,589968,210513
2024-08-13,615309,104204,815044,113758,190706,47955,589977,210075
2024-08-20,615309,104204,815044,113758,190706,47955,589977,210075
2024-08-27,616776,104148,814128,113760,190787,48049,589987,209674
2024-09-03,622717,104037,809598,113762,190941,48237,589966,209195
2024-09-10,622758,103990,809560,113762,190941,48284,589967,209194
