date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,34001,375,263364,13201,2168,5309,47065,33296
2023-06-20,34001,375,263364,13201,2168,5309,47065,33296
2023-06-27,34001,375,263364,13201,2168,5309,47065,33296
2023-07-04,34001,375,263364,13201,2168,5309,47065,33296
2023-07-11,34001,375,263364,13201,2168,5309,47065,33296
2023-07-18,53319,4528,345399,14684,15420,6447,72969,50971
2023-07-25,154753,64957,402612,18494,117952,12591,234043,93464
2023-08-01,154753,64957,402612,18494,117952,12591,234043,93464
2023-08-08,156355,64951,401586,18486,117958,12364,234049,93216
2023-08-15,156428,64938,401578,18485,117917,12341,234050,93166
2023-08-22,156801,64940,401393,18353,117929,12259,234048,93120
2023-08-29,157093,64795,401315,18353,117464,12082,234031,93019
2023-09-05,157340,64794,401178,18350,117509,12089,234029,93005
2023-09-12,164861,64979,393151,18468,117482,12304,230433,92703
2023-09-19,164570,64748,392979,18445,117122,12292,228693,92414
2023-09-26,164877,64744,392741,18445,117126,12267,228695,92367
2023-10-03,167796,64977,392407,18492,118382,11921,234373,92774
2023-10-10,167796,64977,392407,18492,118382,11921,234373,92774
2023-10-17,167908,64962,392398,18493,118392,11865,234368,92733
2023-10-24,169988,64977,390808,18493,118359,11702,234241,92573
2023-10-31,170158,64977,390714,18494,118363,11684,234240,92517
2023-11-07,171519,64977,389420,18493,118360,11633,234229,92443
2023-11-14,171700,64963,389356,18492,118372,11607,234246,92342
2023-11-21,171768,64962,389339,18492,118369,11605,234245,92298
2023-11-28,172723,64973,388714,18443,118358,11476,234250,92215
2023-12-05,172889,64990,388715,18443,118358,11374,234251,92154
2023-12-12,172988,64989,388648,18442,118360,11365,234249,92114
2023-12-19,174608,65016,387197,18439,118376,11364,234221,91949
2023-12-26,174608,65016,387197,18439,118376,11364,234221,91949
2024-01-02,174944,65017,386959,18439,118378,11328,234223,91898
2024-01-09,174944,65017,386959,18439,118378,11328,234223,91898
2024-01-16,176712,64997,385635,18488,118373,11175,234251,91631
2024-01-23,176712,64997,385635,18488,118373,11175,234251,91631
2024-01-30,176712,64997,385635,18488,118373,11175,234251,91631
2024-02-06,176851,64996,385592,18488,118369,11198,234250,91540
2024-02-13,175778,64878,368512,17714,117762,8761,231922,88210
2024-02-20,169141,38585,358427,17323,83551,4453,222845,85035
2024-02-27,169141,38585,358427,17323,83551,4453,222845,85035
2024-03-05,169073,38585,358355,17323,83551,4442,222845,85035
2024-03-12,168929,38216,350962,17310,81271,3992,221871,83961
2024-03-19,172438,38144,348941,17313,81511,4100,221959,83768
2024-03-26,173332,37776,349000,17313,81220,4300,222193,83509
2024-04-02,173743,37738,348693,17315,81287,4621,222232,83443
2024-04-16,183161,37425,340549,17309,82031,4751,222134,83118
2024-04-30,185870,37410,338539,17312,82021,4687,222118,82879
2024-05-07,185978,37389,338520,17312,82058,4683,222126,82817
2024-05-14,186664,37385,337890,17312,82064,4679,222129,82775
2024-05-20,176342,37719,347781,17318,82194,4657,222140,82901
2024-05-21,176342,37719,347781,17318,82194,4657,222140,82901
2024-05-28,176992,37660,347648,17316,81992,4358,222131,82747
2024-06-04,177023,37660,347642,17316,81991,4357,222131,82737
2024-06-11,177439,37654,347497,17316,81982,4450,222126,82521
2024-06-18,180944,37570,346150,17286,82052,4291,222038,80706
2024-07-02,182770,37532,345005,17288,82097,4192,222020,80298
2024-07-09,183100,35910,344987,17288,83810,4095,222012,80075
2024-07-16,183502,35912,344749,17288,83810,4092,222008,79960
2024-07-23,184985,35797,343755,17251,83958,4074,222024,79594
2024-07-30,185111,35789,343756,17251,83994,4075,222032,79555
2024-08-06,185472,35789,343461,17250,84005,4054,222027,79518
2024-08-13,187114,35796,342357,17248,84042,4070,222068,79274
2024-08-20,187114,35796,342357,17248,84042,4070,222068,79274
2024-08-27,187476,35798,342125,17248,84046,4045,222070,79190
2024-09-03,189160,35716,341106,17223,84153,4092,222104,78913
2024-09-10,189169,35716,341104,17223,84153,4092,222104,78913
