date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,13378,338,51578,56,2987,254,24,0
2023-06-20,13378,338,51578,56,2987,254,24,0
2023-06-27,13378,338,51578,56,2987,254,24,0
2023-07-04,13378,338,51578,56,2987,254,24,0
2023-07-11,13378,338,51578,56,2987,254,24,0
2023-07-18,13378,338,51578,56,2987,254,24,0
2023-07-25,152132,23489,110923,1191,55784,1016,26,1
2023-08-01,152132,23489,110923,1191,55784,1016,26,1
2023-08-08,152516,23487,110615,1191,55785,939,26,1
2023-08-15,152539,23487,110623,1191,55776,906,26,1
2023-08-22,152616,23489,110564,1191,55776,899,26,1
2023-08-29,152734,23492,110563,1192,55784,779,26,1
2023-09-05,152880,23500,110614,1192,55793,736,26,1
2023-09-12,153164,23501,110548,1192,55793,719,26,1
2023-09-19,149301,22848,109900,1159,54130,659,26,1
2023-09-26,149334,22846,109873,1159,54131,651,26,1
2023-10-03,155765,23359,108910,1192,55814,529,26,1
2023-10-10,155765,23359,108910,1192,55814,529,26,1
2023-10-17,156144,23350,108581,1192,55820,485,26,1
2023-10-24,156181,23354,108554,1192,55810,469,26,1
2023-10-31,156181,23354,108554,1192,55810,469,26,1
2023-11-07,156345,23355,108312,1192,55808,544,26,1
2023-11-14,156346,23366,108313,1192,55800,545,26,1
2023-11-21,156348,23364,108305,1192,55800,547,26,1
2023-11-28,156421,23365,108232,1192,55798,548,26,1
2023-12-05,156481,23367,108186,1192,55793,540,26,1
2023-12-12,156728,23367,107936,1192,55772,573,26,1
2023-12-19,156715,23374,107935,1192,55765,574,26,1
2023-12-26,156715,23374,107935,1192,55765,574,26,1
2024-01-02,156946,23374,107705,1192,55765,574,26,1
2024-01-09,157347,23371,107093,1192,55751,530,26,1
2024-01-16,157355,23372,107091,1192,55750,517,26,1
2024-01-23,157362,23369,107088,1192,55747,518,26,1
2024-01-30,157362,23369,107088,1192,55747,518,26,1
2024-02-06,157466,23369,106985,1192,55746,518,26,1
2024-02-13,157917,23373,106770,1192,55778,518,26,1
2024-02-20,148410,16682,104598,1044,45758,402,26,1
2024-02-27,148410,16682,104598,1044,45758,402,26,1
2024-03-05,148410,16682,104598,1044,45758,402,26,1
2024-03-12,147689,16268,100425,1032,45030,263,26,1
2024-03-19,147264,16201,95967,1032,44479,193,13,1
2024-03-26,147450,15979,95990,1033,44807,234,13,0
2024-04-02,147588,15974,95950,1033,44823,315,13,0
2024-04-16,149569,15812,94118,1029,44862,323,13,0
2024-04-30,150262,15801,93450,1029,44838,321,13,0
2024-05-07,150287,15780,93452,1029,44879,320,13,0
2024-05-14,150373,15778,93368,1029,44893,319,13,0
2024-05-20,147736,16070,95911,1030,44727,318,13,0
2024-05-21,147736,16070,95911,1030,44727,318,13,0
2024-05-28,147761,16072,95904,1029,44665,302,13,0
2024-06-04,147761,16072,95904,1029,44665,302,13,0
2024-06-11,148343,16071,95555,1029,44654,300,13,0
2024-06-18,148592,16075,95558,1030,44612,278,13,0
2024-07-02,148799,16041,95388,1030,44655,273,13,0
2024-07-09,148818,15890,95385,1030,44843,269,13,0
2024-07-16,149149,15890,95069,1030,44843,263,13,0
2024-07-23,149310,15892,94920,1030,44842,248,13,0
2024-07-30,149335,15885,94919,1030,44857,257,13,0
2024-08-06,149598,15887,94681,1030,44856,261,13,0
2024-08-13,149627,15902,94676,1030,44884,263,13,0
2024-08-20,149627,15902,94676,1030,44884,263,13,0
2024-08-27,149964,15900,94459,1030,44887,264,13,0
2024-09-03,150321,15902,94173,1030,44897,291,13,0
2024-09-10,150347,15901,94147,1030,44897,292,13,0
