date,FTTP,SATELLITE,FTTN,FTTB,WIRELESS,NULL,HFC,FTTC
2023-05-23,1284,8,12094,0,457,8,0,11
2023-05-30,1284,8,12094,0,457,8,0,11
2023-06-06,67578,2428,196466,4271,13150,14756,39628,32240
2023-06-13,218395,8385,740896,38107,32111,46536,219729,139755
2023-06-20,218395,8385,740896,38107,32111,46536,219729,139755
2023-06-27,218395,8385,740896,38107,32111,46536,219729,139755
2023-07-04,218395,8385,740896,38107,32111,46536,219729,139755
2023-07-11,218479,8383,740811,38107,32113,46535,219729,139755
2023-07-18,224926,8442,741432,38142,33045,50251,219720,144605
2023-07-25,455138,41625,893034,131171,116209,99784,616558,339683
2023-08-01,684359,111525,894663,176795,242618,154373,913334,634568
2023-08-08,692005,111506,889381,176698,242591,151834,913333,634238
2023-08-15,693128,111538,889273,176691,242664,152063,913319,633624
2023-08-22,695331,111553,888329,176681,242701,151845,913372,633491
2023-08-29,697890,111535,888319,176624,242495,151183,913064,632284
2023-09-05,699346,111624,888328,176861,242703,151894,913289,632427
2023-09-12,702889,111705,886935,176887,243197,153560,913681,633051
2023-09-19,706757,112137,886889,177007,243938,155578,915086,632180
2023-09-26,716479,112129,877812,176998,243933,155389,915107,632051
2023-10-03,742641,112077,852620,176998,244008,155260,915074,631212
2023-10-10,745444,111647,852576,176996,243903,154573,914625,630353
2023-10-17,753039,111555,846282,176981,243820,153788,914592,629979
2023-10-24,753416,111543,846281,176980,243807,153312,914974,629672
2023-10-31,755125,111548,845984,176928,243604,152869,914968,628979
2023-11-07,763062,111532,839606,176929,243510,152019,914887,628503
2023-11-14,764846,111510,839600,176908,243323,151468,914697,627557
2023-11-21,764798,111508,839223,176911,243258,151484,914710,628021
2023-11-28,766962,111503,837465,176912,243213,151500,914682,627695
2023-12-05,769133,111414,837456,176913,243110,150922,914610,626426
2023-12-12,781103,111386,826744,176965,243036,150295,914566,625954
2023-12-19,781491,111375,826744,176964,243036,150170,914578,625740
2023-12-26,783228,111315,826737,176917,242969,149468,914620,624694
2024-01-02,785793,111332,824654,176863,242970,149134,914611,624531
2024-01-09,798599,111304,811367,176866,242967,148901,914365,624009
2024-01-16,798599,111304,811367,176866,242967,148901,914365,624009
2024-01-23,801588,110596,811363,176850,242793,148315,914390,622621
2024-01-30,801693,110595,811257,176850,242795,148311,914390,622621
2024-02-06,804007,110508,810107,176795,243098,147125,914388,622971
2024-02-13,811551,110432,804038,176798,243189,146708,914609,622803
2024-02-20,801127,100797,803634,175693,230251,129840,900243,612760
2024-02-27,801127,100797,803634,175693,230251,129840,900243,612760
2024-03-05,749221,70967,802712,170737,190066,94024,863256,553201
2024-03-12,748122,67533,788352,164953,181374,63495,859472,550289
2024-03-19,743256,63983,731757,163786,172022,37356,850902,539082
2024-03-26,792321,67071,731999,165376,181977,35419,875955,577499
2024-04-02,792881,66839,728605,165407,182220,45160,876069,573475
2024-04-16,832567,66076,698974,165276,183522,46256,876327,571002
2024-04-30,842423,65966,690870,165179,183634,46222,876358,570260
2024-05-07,844980,65865,690851,165180,183811,46605,876306,567901
2024-05-14,848137,65873,688336,165171,183857,46446,876311,567525
2024-05-20,806457,66546,729533,165266,184211,46196,876346,567435
2024-05-21,806457,66546,729533,165266,184211,46196,876346,567435
2024-05-28,810436,66601,729528,165266,184129,45448,876382,564360
2024-06-04,810607,66601,729390,165266,184133,45450,876382,564360
2024-06-11,820026,66565,722417,163345,184149,44914,876407,562895
2024-06-18,823025,66449,722410,162555,184172,44722,876384,558962
2024-07-02,831283,66191,715744,162541,184486,44356,876406,558116
2024-07-09,836057,65611,715731,162504,185357,43969,876315,554934
2024-07-16,838790,65614,713903,162515,185388,43934,876330,554215
2024-07-23,845135,65614,710104,162519,185478,43693,876327,552177
2024-07-30,847660,65554,710097,162532,186090,43221,876384,550566
2024-08-06,852697,65489,706185,162532,186232,42917,876407,550102
2024-08-13,855358,65492,704831,162537,186290,42780,876412,549232
2024-08-20,856337,65418,704830,162535,186383,42800,876411,548603
2024-08-27,859732,65406,702374,162531,186420,42762,876387,548231
2024-09-03,863777,65387,699279,162532,186434,43262,876405,547808
2024-09-10,867797,59383,699275,162534,186466,51799,876435,545613
