date,HFC,FTTB,WIRELESS,FTTN,FTTP,SATELLITE,FTTC,NULL
2023-05-23,0,0,0,3516,43,0,1876,0
2023-05-30,0,0,0,3516,43,0,1876,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,26124,5510,2318,218971,35722,530,25217,11057
2023-06-20,50675,21084,4315,613436,93042,1571,80578,21235
2023-06-27,50675,21084,4315,613436,93042,1571,80578,21235
2023-07-04,50675,21084,4315,613436,93042,1571,80578,21235
2023-07-11,54247,21084,4315,614015,93296,1577,81213,21248
2023-07-18,54247,21334,4323,615359,93513,1577,81213,26978
2023-07-25,54247,21334,4323,615359,93513,1577,81213,26978
2023-08-01,126000,37127,59692,779242,251205,76763,106048,44988
2023-08-08,125991,37084,59684,776753,254317,76762,105533,44888
2023-08-15,125991,37084,59682,776748,254397,76762,105524,44818
2023-08-22,125974,37022,59688,775988,255453,76766,105419,44803
2023-08-29,126669,37165,60279,778272,255926,77101,105430,45044
2023-09-05,126674,37166,60284,777716,256136,77106,105417,45194
2023-09-12,126599,37162,60290,765682,268702,77129,105248,45903
2023-09-19,126568,37166,60207,765554,269032,76968,105247,46561
2023-09-26,126567,37166,60208,765514,269158,76971,105229,46486
2023-10-03,126560,37152,60229,764376,270843,76951,104972,46195
2023-10-10,126561,37152,60378,764243,270966,76802,104944,46223
2023-10-17,126559,37152,60395,764173,270982,76771,104784,46213
2023-10-24,126564,37153,60391,760968,274519,76771,104519,46129
2023-10-31,126565,37153,60391,760874,274781,76785,104399,46096
2023-11-07,126559,37152,60399,760246,275451,76787,104481,46081
2023-11-14,126546,37134,60394,756408,279470,76775,104249,46142
2023-11-21,126548,37135,60389,756339,279544,76771,104233,46157
2023-11-28,126548,37134,60377,755021,281225,76772,104040,46109
2023-12-05,126573,37117,60385,754927,282329,76676,104042,45153
2023-12-12,126573,37117,60389,754799,282470,76677,104031,45133
2023-12-19,126580,37116,60387,748669,288690,76680,103883,45196
2023-12-26,126584,37134,60282,748654,288869,76699,103848,45242
2024-01-02,126583,37134,60283,748544,289059,76700,103827,45204
2024-01-09,126583,37134,60283,748544,289059,76700,103827,45204
2024-01-16,126582,37135,60309,741712,296227,76701,103584,45096
2024-01-23,126580,37132,60301,741590,296559,76586,103562,44901
2024-01-30,126572,37132,60297,741595,296566,76479,103558,44903
2024-02-06,126572,37132,60295,741495,296722,76468,103537,44868
2024-02-13,124904,36397,59403,705610,294683,75950,98641,37125
2024-02-20,124904,36397,59403,705610,294683,75950,98641,37125
2024-02-27,124904,36397,59403,705610,294683,75950,98641,37125
2024-03-05,121859,36117,48036,695536,284154,50049,97264,30096
2024-03-12,121530,35793,46002,687463,289151,49191,96562,19001
2024-03-19,121573,35809,46051,679828,299710,49153,96151,18956
2024-03-26,122397,35814,47003,680314,302196,49732,96134,19176
2024-04-02,122408,35814,47045,679037,296477,49724,96106,26576
2024-04-16,122291,35812,44829,675387,301508,49774,95625,29007
2024-04-30,122298,35815,44926,669851,307953,49768,95427,28864
2024-05-07,122302,35815,47127,669857,308298,49802,95379,26584
2024-05-14,122303,35815,47132,669719,308492,49802,95348,26583
2024-05-20,122316,35824,46890,677688,300595,50093,95351,26540
2024-05-21,122317,35824,46890,677402,301031,50093,95304,26526
2024-05-28,122318,35815,46804,676041,302839,50050,95128,26431
2024-06-04,122319,35815,46804,676041,302840,50050,95128,26430
2024-06-11,122315,35815,46791,675975,303097,50052,95070,26408
2024-06-18,122339,35816,46792,669816,310282,50050,94581,26392
2024-07-02,122350,35818,46876,668838,311587,50037,94444,26417
2024-07-09,122353,35778,47230,665003,315899,49711,93890,26477
2024-07-16,122353,35777,47236,664883,316190,49710,93751,26465
2024-07-23,122358,35818,47244,661191,320998,49705,93080,26360
2024-07-30,122371,35819,47320,661191,321143,49689,93037,26353
2024-08-06,122371,35820,47323,660989,321394,49687,93018,26349
2024-08-13,122372,35819,47325,656198,326849,49688,92720,26257
2024-08-20,122375,35822,47357,656191,327016,49609,92675,26430
2024-08-27,122373,35822,47363,656045,327260,49606,92640,26437
2024-09-03,122375,35824,47367,652290,331744,49601,92268,26450
